"","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_verifications","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","number_of_reviews","reviews_per_month","review_scores_rating","instant_bookable","fully_booked_30","host_since_months_int"
"1","within an hour",100,90,"TRUE",2,"phone_email",-33.9144,18.39161,"Entire home/apt",2,1,0,2,810,4,14,4,1125,219,1.88,4.47,"FALSE","yes",144
"2","within an hour",94,99,"TRUE",21,"phone_email",-33.93835,18.37805,"Entire home/apt",4,2.5,2,2,5582,2,365,2,365,69,3.2,4.8,"TRUE","no",55
"3","within a few hours",80,58,"FALSE",1,"phone_email",-34.212,18.46108,"Entire home/apt",12,3.5,5,9,4521,5,100,5,100,79,1.73,4.91,"FALSE","no",89
"4","within an hour",100,89,"FALSE",2,"phone_email",-34.1171955,18.826765,"Entire home/apt",4,1,2,3,1700,2,365,2.4,365,7,0.63,4.86,"FALSE","no",131
"5","within an hour",100,90,"FALSE",176,"phone_only",-33.9604921,18.3843204,"Entire home/apt",2,1,1,1,1261,4,45,2.7,45,2,2,5,"FALSE","no",123
"6","within a few hours",100,72,"FALSE",2,"phone_email",-33.94204,18.42454,"Entire home/apt",4,1.5,2,2,924,2,365,2,365,12,0.96,4.92,"FALSE","no",146
"7","within a day",90,58,"FALSE",2,"phone_email",-33.82720338,18.6488778,"Entire home/apt",2,1,1,1,859,3,365,3.4,365,1,0.26,5,"FALSE","yes",107
"8","within a few hours",100,100,"FALSE",1,"phone_email",-33.9191835,18.4217517,"Entire home/apt",4,2,2,2,2037,2,365,2,1125,4,0.34,4.25,"TRUE","no",20
"9","within a day",80,35,"FALSE",3,"phone_only",-34.0136,18.39075,"Entire home/apt",2,1,1,1,641,2,1125,2,1125,10,0.52,5,"FALSE","no",88
"10","within an hour",100,80,"FALSE",2,"phone_email",-33.82466,18.4841,"Entire home/apt",4,1,1,5,1802,3,1125,3,1125,18,0.39,5,"FALSE","no",66
"11","within an hour",100,84,"TRUE",63,"phone_email",-33.9093571,18.3975988,"Entire home/apt",4,2,2,2,3418,3,90,4,365,2,2,5,"FALSE","no",133
"12","within an hour",90,100,"FALSE",2,"phone_email",-33.8091159,18.4692339,"Entire home/apt",5,1,2,3,1209,2,365,2,365,22,2.37,4.64,"TRUE","no",92
"13","within an hour",100,100,"FALSE",1,"phone_email",-33.9176714,18.4215188,"Entire home/apt",2,1,1,1,1195,2,90,2.3,1125,4,0.77,4.5,"TRUE","no",15
"14","within an hour",100,100,"FALSE",19,"phone_email",-33.705,18.44455,"Entire home/apt",10,5,5,6,4565,1,365,2.4,365,11,0.92,4.82,"TRUE","no",33
"15","within an hour",100,100,"TRUE",1,"phone_email",-33.73339,18.43834,"Entire home/apt",2,1,1,2,788,2,31,2,1125,137,1.26,4.91,"TRUE","no",116
"16","within an hour",100,100,"TRUE",1,"phone_email",-33.91632718,18.38998403,"Entire home/apt",2,1,1,1,1343,2,365,2.3,1125,31,1.51,4.84,"TRUE","no",29
"17","within an hour",100,96,"TRUE",4,"phone_email",-34.03737,18.42671,"Private room",2,1,1,1,1354,2,700,2,700,162,1.62,4.99,"FALSE","no",126
"18","within an hour",100,90,"TRUE",4,"phone_email",-34.09933658,18.47417954,"Entire home/apt",2,1,1,1,675,2,365,2,365,2,0.28,5,"FALSE","no",106
"19","within an hour",100,100,"FALSE",4,"phone_email",-33.96908,18.49943,"Entire home/apt",6,2,3,3,3241,1,365,1,365,8,0.58,4.63,"FALSE","yes",50
